Date,Nationality,Pending further review,Pending initial decision (6 months or less),Pending initial decision (more than 6 months)
2013-12-31,Croatia,,,5
2013-12-31,Cyprus (Northern part of),,,1
2013-12-31,Djibouti,,,1
2013-12-31,Germany,,,1
2013-12-31,Hungary,,,1
2013-12-31,Kyrgyzstan,,,4
2013-12-31,Mozambique,,,4
2013-12-31,Norway,,,3
2013-12-31,Singapore,,,1
2013-12-31,Taiwan,,,2
2013-12-31,Tajikistan,,,2
2013-12-31,Turkmenistan,,,1
2014-03-31,Afghanistan,436,527,576
2014-03-31,Albania,197,771,606
2014-03-31,Algeria,46,62,128
2014-03-31,Angola,9,19,31
2014-03-31,Antigua and Barbuda,1,,
2014-03-31,Armenia,3,8,10
2014-03-31,Azerbaijan,1,15,8
2014-03-31,Bahrain,3,5,10
2014-03-31,Bangladesh,118,295,369
2014-03-31,Benin,1,1,
2014-03-31,Bhutan,1,,1
2014-03-31,Bolivia,2,,15
2014-03-31,Bosnia and Herzegovina,1,4,14
2014-03-31,Botswana,1,4,12
2014-03-31,British overseas citizens,4,3,5
2014-03-31,Burma,12,75,26
2014-03-31,Burundi,1,5,5
2014-03-31,Cameroon,37,50,44
2014-03-31,Canada,1,5,1
2014-03-31,Central African Republic,4,6,
2014-03-31,Chad,1,5,5
2014-03-31,China,271,463,496
2014-03-31,Colombia,6,2,11
2014-03-31,Comoros,1,,
2014-03-31,Congo,5,17,20
2014-03-31,Congo (Democratic Republic),60,139,140
2014-03-31,Ecuador,1,,1
2014-03-31,Egypt,56,126,78
2014-03-31,El Salvador,3,10,14
2014-03-31,Eritrea,70,686,166
2014-03-31,Ethiopia,36,86,51
2014-03-31,Former Yugoslavia,1,1,
2014-03-31,"Gambia, The",36,159,131
2014-03-31,Georgia,14,17,18
2014-03-31,Ghana,28,56,73
2014-03-31,Grenada,2,3,2
2014-03-31,Guinea,19,19,29
2014-03-31,Guyana,4,1,1
2014-03-31,Honduras,1,9,2
2014-03-31,India,120,245,451
2014-03-31,Indonesia,1,3,10
2014-03-31,Iran,325,1113,1027
2014-03-31,Iraq,151,273,214
2014-03-31,Ivory Coast,19,28,48
2014-03-31,Jamaica,21,58,61
2014-03-31,Japan,1,1,
2014-03-31,Jordan,5,19,6
2014-03-31,Kenya,20,32,45
2014-03-31,Korea (North),18,30,17
2014-03-31,Korea (South),3,4,6
2014-03-31,Kosovo,17,6,25
2014-03-31,Kuwait,8,24,38
2014-03-31,Latvia,3,3,2
2014-03-31,Lebanon,14,35,53
2014-03-31,Liberia,5,2,13
2014-03-31,Libya,63,207,210
2014-03-31,Lithuania,1,15,4
2014-03-31,Malawi,37,60,57
2014-03-31,Malaysia,5,13,8
2014-03-31,Mali,7,2,7
2014-03-31,Mauritius,5,22,36
2014-03-31,Mongolia,7,7,36
2014-03-31,Morocco,14,21,33
2014-03-31,Mozambique,1,,3
2014-03-31,Namibia,5,12,
2014-03-31,Nepal,5,10,11
2014-03-31,Nigeria,258,526,671
2014-03-31,Occupied Palestinian Territories,39,68,79
2014-03-31,Pakistan,681,1471,1355
2014-03-31,Philippines,6,9,6
2014-03-31,Poland,9,60,18
2014-03-31,Portugal,1,2,
2014-03-31,Refugee,1,16,3
2014-03-31,Romania,1,5,11
2014-03-31,Russia,28,39,61
2014-03-31,Rwanda,15,9,15
2014-03-31,Senegal,6,10,12
2014-03-31,Sierra Leone,30,41,56
2014-03-31,Somalia,80,194,252
2014-03-31,South Africa,18,20,36
2014-03-31,Spain,1,1,1
2014-03-31,Sri Lanka,618,846,1189
2014-03-31,St. Lucia,1,4,4
2014-03-31,Stateless,9,119,78
2014-03-31,Sudan,50,343,146
2014-03-31,Swaziland,1,5,3
2014-03-31,Syria,48,623,152
2014-03-31,Tanzania,9,10,17
2014-03-31,Thailand,1,4,6
2014-03-31,Togo,5,1,5
2014-03-31,Trinidad and Tobago,6,12,14
2014-03-31,Tunisia,7,14,17
2014-03-31,Turkey,74,106,205
2014-03-31,Uganda,41,97,122
2014-03-31,Ukraine,12,50,51
2014-03-31,United States,4,15,6
2014-03-31,Venezuela,4,19,3
2014-03-31,Vietnam,34,142,209
2014-03-31,Yemen,10,31,23
2014-03-31,Zambia,7,14,12
2014-03-31,Zimbabwe,174,183,223
2014-03-31,Argentina,,1,
2014-03-31,Barbados,,4,
2014-03-31,Belarus,,6,6
2014-03-31,Brazil,,4,12
2014-03-31,Chile,,1,
2014-03-31,Costa Rica,,2,
2014-03-31,Croatia,,1,5
2014-03-31,Cuba,,1,
2014-03-31,Czech Republic,,4,1
2014-03-31,Djibouti,,1,1
2014-03-31,Equatorial Guinea,,1,
2014-03-31,Fiji,,1,
2014-03-31,France,,1,1
2014-03-31,Guinea-Bissau,,2,
2014-03-31,Hong Kong,,2,
2014-03-31,Hungary,,3,1
2014-03-31,Ireland,,1,1
2014-03-31,Israel,,3,5
2014-03-31,Italy,,1,
2014-03-31,Macedonia,,5,
2014-03-31,Maldives,,1,
2014-03-31,Mauritania,,2,2
2014-03-31,Mexico,,4,2
2014-03-31,Niger,,1,2
2014-03-31,Oman,,3,
2014-03-31,Other and unknown,,5,15
2014-03-31,Panama,,1,
2014-03-31,Paraguay,,1,
2014-03-31,Qatar,,1,1
2014-03-31,Saudi Arabia,,12,8
2014-03-31,Serbia,,1,
2014-03-31,Seychelles,,1,
2014-03-31,St. Kitts and Nevis,,1,
2014-03-31,St. Vincent and the Grenadines,,2,1
2014-03-31,Sudan (South),,11,1
2014-03-31,Turkmenistan,,7,1
2014-03-31,Uzbekistan,,8,7
2014-03-31,Western Sahara,,1,5
2014-03-31,Australia,,,1
2014-03-31,Bulgaria,,,2
2014-03-31,Burkina,,,6
2014-03-31,Cyprus (Northern part of),,,1
2014-03-31,Dominica,,,2
2014-03-31,Germany,,,1
2014-03-31,Kazakhstan,,,9
2014-03-31,Kyrgyzstan,,,3
2014-03-31,Laos,,,1
2014-03-31,Moldova,,,2
2014-03-31,Netherlands,,,1
2014-03-31,Norway,,,3
2014-03-31,Peru,,,1
2014-03-31,Singapore,,,1
2014-03-31,Taiwan,,,2
2014-03-31,Tajikistan,,,2
2014-03-31,United Arab Emirates,,,3
2014-06-30,Afghanistan,404,465,705
2014-06-30,Albania,258,681,847
2014-06-30,Algeria,57,62,122
2014-06-30,Angola,10,16,39
2014-06-30,Antigua and Barbuda,1,1,
2014-06-30,Armenia,4,7,14
2014-06-30,Azerbaijan,4,1,22
2014-06-30,Bahrain,2,5,7
2014-06-30,Bangladesh,126,253,422
2014-06-30,Barbados,1,2,
2014-06-30,Benin,1,2,
2014-06-30,Bhutan,1,1,1
2014-06-30,Bolivia,4,2,10
2014-06-30,Bosnia and Herzegovina,2,4,13
2014-06-30,Botswana,4,5,14
2014-06-30,Brazil,4,8,11
2014-06-30,British overseas citizens,2,2,6
2014-06-30,Burma,14,74,46
2014-06-30,Burundi,1,9,4
2014-06-30,Cameroon,34,34,55
2014-06-30,Canada,1,4,1
2014-06-30,Central African Republic,5,5,2
2014-06-30,China,238,399,592
2014-06-30,Colombia,6,3,9
2014-06-30,Congo,7,16,26
2014-06-30,Congo (Democratic Republic),55,111,174
2014-06-30,Djibouti,1,,
2014-06-30,Egypt,55,125,110
2014-06-30,El Salvador,3,5,19
2014-06-30,Eritrea,80,837,396
2014-06-30,Ethiopia,38,75,89
2014-06-30,Former Yugoslavia,2,3,2
2014-06-30,"Gambia, The",39,142,191
2014-06-30,Georgia,18,23,23
2014-06-30,Ghana,33,52,89
2014-06-30,Grenada,2,3,2
2014-06-30,Guinea,18,18,34
2014-06-30,Honduras,2,5,5
2014-06-30,India,114,286,482
2014-06-30,Indonesia,11,2,2
2014-06-30,Iran,337,880,1413
2014-06-30,Iraq,128,227,291
2014-06-30,Israel,2,1,5
2014-06-30,Ivory Coast,26,20,50
2014-06-30,Jamaica,20,51,72
2014-06-30,Japan,1,,
2014-06-30,Jordan,11,13,16
2014-06-30,Kazakhstan,2,,7
2014-06-30,Kenya,17,28,54
2014-06-30,Korea (North),17,20,31
2014-06-30,Korea (South),2,3,7
2014-06-30,Kosovo,11,8,23
2014-06-30,Kuwait,7,31,48
2014-06-30,Kyrgyzstan,1,3,2
2014-06-30,Lebanon,27,32,46
2014-06-30,Liberia,2,2,12
2014-06-30,Libya,55,138,299
2014-06-30,Lithuania,1,12,8
2014-06-30,Madagascar,1,,
2014-06-30,Malawi,32,64,80
2014-06-30,Malaysia,4,9,10
2014-06-30,Mali,7,6,7
2014-06-30,Mauritius,14,14,32
2014-06-30,Mexico,1,3,4
2014-06-30,Mongolia,14,6,37
2014-06-30,Morocco,5,24,36
2014-06-30,Namibia,3,9,6
2014-06-30,Nepal,6,6,13
2014-06-30,Nigeria,307,574,718
2014-06-30,Occupied Palestinian Territories,29,72,92
2014-06-30,Other and unknown,4,5,13
2014-06-30,Pakistan,707,1224,1679
2014-06-30,Philippines,4,20,10
2014-06-30,Poland,5,56,27
2014-06-30,Portugal,1,3,1
2014-06-30,Refugee,1,8,16
2014-06-30,Russia,29,27,77
2014-06-30,Rwanda,6,2,23
2014-06-30,Saudi Arabia,1,17,10
2014-06-30,Senegal,3,7,18
2014-06-30,Serbia,1,1,
2014-06-30,Sierra Leone,20,36,70
2014-06-30,Somalia,82,160,294
2014-06-30,South Africa,13,30,31
2014-06-30,Spain,1,,1
2014-06-30,Sri Lanka,640,689,1388
2014-06-30,St. Lucia,1,1,7
2014-06-30,Stateless,25,131,110
2014-06-30,Sudan,57,429,261
2014-06-30,Syria,50,549,285
2014-06-30,Taiwan,1,,1
2014-06-30,Tanzania,13,12,21
2014-06-30,Thailand,1,4,6
2014-06-30,Togo,2,1,6
2014-06-30,Trinidad and Tobago,9,4,19
2014-06-30,Tunisia,7,13,21
2014-06-30,Turkey,78,121,212
2014-06-30,Uganda,43,106,131
2014-06-30,Ukraine,10,99,45
2014-06-30,United States,9,16,10
2014-06-30,Uzbekistan,5,10,6
2014-06-30,Venezuela,12,19,4
2014-06-30,Vietnam,39,178,218
2014-06-30,Western Sahara,1,,4
2014-06-30,Yemen,15,24,30
2014-06-30,Zambia,5,12,15
2014-06-30,Zimbabwe,147,170,277
2014-06-30,Argentina,,1,
2014-06-30,Belarus,,13,7
2014-06-30,Chad,,3,9
2014-06-30,Chile,,1,
2014-06-30,Costa Rica,,2,
2014-06-30,Croatia,,1,5
2014-06-30,Cuba,,1,
2014-06-30,Czech Republic,,2,2
2014-06-30,Ecuador,,1,1
2014-06-30,Equatorial Guinea,,1,
2014-06-30,Fiji,,2,
2014-06-30,France,,2,
2014-06-30,Germany,,1,1
2014-06-30,Greece,,1,
2014-06-30,Guinea-Bissau,,1,
2014-06-30,Guyana,,1,1
2014-06-30,Hong Kong,,2,2
2014-06-30,Hungary,,4,1
2014-06-30,Ireland,,1,1
2014-06-30,Italy,,1,
2014-06-30,Latvia,,3,3
2014-06-30,Macedonia,,2,3
2014-06-30,Maldives,,1,
2014-06-30,Mauritania,,4,2
2014-06-30,Montenegro,,1,
2014-06-30,Nicaragua,,1,
2014-06-30,Niger,,2,2
2014-06-30,Oman,,3,
2014-06-30,Panama,,1,
2014-06-30,Qatar,,2,
2014-06-30,Romania,,3,14
2014-06-30,Singapore,,2,1
2014-06-30,St. Kitts and Nevis,,2,
2014-06-30,St. Vincent and the Grenadines,,2,1
2014-06-30,Sudan (South),,12,1
2014-06-30,Swaziland,,8,4
2014-06-30,Turkmenistan,,7,1
2014-06-30,United Arab Emirates,,4,
2014-06-30,Australia,,,1
2014-06-30,Bulgaria,,,1
2014-06-30,Burkina,,,7
2014-06-30,Cyprus (Northern part of),,,1
2014-06-30,Dominica,,,2
2014-06-30,Laos,,,1
2014-06-30,Moldova,,,2
2014-06-30,Mozambique,,,3
2014-06-30,Sweden,,,1
2014-06-30,Tajikistan,,,2
2014-09-30,Afghanistan,506,706,748
2014-09-30,Albania,417,615,843
2014-09-30,Algeria,68,63,117
2014-09-30,Angola,19,17,30
2014-09-30,Antigua and Barbuda,1,2,
2014-09-30,Armenia,3,10,18
2014-09-30,Azerbaijan,3,5,20
2014-09-30,Bahrain,3,2,8
2014-09-30,Bangladesh,174,191,475
2014-09-30,Benin,1,,1
2014-09-30,Bhutan,2,3,
2014-09-30,Bolivia,3,,8
2014-09-30,Bosnia and Herzegovina,1,,16
2014-09-30,Botswana,7,10,11
2014-09-30,Brazil,2,3,9
2014-09-30,British overseas citizens,3,,5
2014-09-30,Burma,26,42,77
2014-09-30,Burundi,3,5,8
2014-09-30,Cameroon,48,45,55
2014-09-30,Canada,1,1,4
2014-09-30,Central African Republic,2,,4
2014-09-30,Chad,1,4,10
2014-09-30,China,339,318,655
2014-09-30,Colombia,7,1,11
2014-09-30,Congo,13,8,28
2014-09-30,Congo (Democratic Republic),91,71,208
2014-09-30,Czech Republic,1,,
2014-09-30,Dominica,1,,1
2014-09-30,Egypt,84,112,140
2014-09-30,El Salvador,14,7,10
2014-09-30,Eritrea,116,1302,435
2014-09-30,Ethiopia,41,82,99
2014-09-30,Former Yugoslavia,1,3,1
2014-09-30,"Gambia, The",52,99,181
2014-09-30,Georgia,12,17,27
2014-09-30,Ghana,46,45,74
2014-09-30,Grenada,5,2,3
2014-09-30,Guatemala,1,,
2014-09-30,Guinea,20,16,31
2014-09-30,Guinea-Bissau,1,,
2014-09-30,Honduras,4,1,6
2014-09-30,Hong Kong,3,1,
2014-09-30,India,172,225,401
2014-09-30,Indonesia,10,3,4
2014-09-30,Iran,593,773,1316
2014-09-30,Iraq,158,351,351
2014-09-30,Israel,2,1,6
2014-09-30,Ivory Coast,35,15,45
2014-09-30,Jamaica,28,42,68
2014-09-30,Japan,1,,
2014-09-30,Jordan,9,12,21
2014-09-30,Kazakhstan,3,2,7
2014-09-30,Kenya,25,22,48
2014-09-30,Korea (North),15,12,36
2014-09-30,Korea (South),3,1,6
2014-09-30,Kosovo,14,4,14
2014-09-30,Kuwait,8,36,50
2014-09-30,Kyrgyzstan,2,3,
2014-09-30,Latvia,3,1,2
2014-09-30,Lebanon,29,33,54
2014-09-30,Liberia,1,,11
2014-09-30,Libya,118,330,302
2014-09-30,Lithuania,1,6,10
2014-09-30,Madagascar,1,1,
2014-09-30,Malawi,49,51,90
2014-09-30,Malaysia,5,22,13
2014-09-30,Mali,7,4,6
2014-09-30,Mauritius,18,11,33
2014-09-30,Mongolia,16,7,35
2014-09-30,Morocco,13,22,38
2014-09-30,Mozambique,1,,2
2014-09-30,Namibia,8,5,10
2014-09-30,Nepal,10,10,11
2014-09-30,Netherlands,2,,
2014-09-30,Nigeria,443,458,681
2014-09-30,Occupied Palestinian Territories,31,78,104
2014-09-30,Other and unknown,3,10,12
2014-09-30,Pakistan,947,1045,1848
2014-09-30,Philippines,14,16,10
2014-09-30,Poland,12,38,34
2014-09-30,Portugal,2,,2
2014-09-30,Refugee,3,4,12
2014-09-30,Romania,2,,5
2014-09-30,Russia,40,36,70
2014-09-30,Rwanda,4,7,16
2014-09-30,Saudi Arabia,11,9,12
2014-09-30,Senegal,7,6,19
2014-09-30,Serbia,1,,
2014-09-30,Sierra Leone,38,33,64
2014-09-30,Somalia,97,164,304
2014-09-30,South Africa,24,25,32
2014-09-30,Spain,1,,
2014-09-30,Sri Lanka,857,496,1488
2014-09-30,Stateless,55,111,116
2014-09-30,Sudan,77,577,300
2014-09-30,Sudan (South),1,2,7
2014-09-30,Swaziland,1,9,6
2014-09-30,Syria,63,720,291
2014-09-30,Tanzania,8,9,23
2014-09-30,Thailand,2,4,7
2014-09-30,Togo,3,1,4
2014-09-30,Trinidad and Tobago,6,14,16
2014-09-30,Tunisia,6,8,22
2014-09-30,Turkey,120,118,217
2014-09-30,Turkmenistan,2,,5
2014-09-30,Uganda,53,81,138
2014-09-30,Ukraine,26,85,58
2014-09-30,United States,13,18,10
2014-09-30,Uzbekistan,5,12,8
2014-09-30,Venezuela,5,12,6
2014-09-30,Vietnam,73,141,239
2014-09-30,Western Sahara,2,3,2
2014-09-30,Yemen,15,45,29
2014-09-30,Zambia,8,8,19
2014-09-30,Zimbabwe,178,100,318
2014-09-30,Australia,,1,1
2014-09-30,Barbados,,1,2
2014-09-30,Belarus,,5,5
2014-09-30,Belize,,2,
2014-09-30,Chile,,1,1
2014-09-30,Ecuador,,1,1
2014-09-30,Fiji,,1,1
2014-09-30,France,,1,
2014-09-30,Greece,,2,
2014-09-30,Macedonia,,1,2
2014-09-30,Mauritania,,2,3
2014-09-30,Mexico,,8,6
2014-09-30,Montenegro,,1,
2014-09-30,Nicaragua,,1,
2014-09-30,Niger,,1,4
2014-09-30,Oman,,7,3
2014-09-30,Singapore,,3,1
2014-09-30,Slovakia,,1,
2014-09-30,St. Kitts and Nevis,,1,
2014-09-30,St. Vincent and the Grenadines,,3,4
2014-09-30,United Arab Emirates,,11,
2014-09-30,Argentina,,,1
2014-09-30,Bulgaria,,,1
2014-09-30,Burkina,,,7
2014-09-30,Costa Rica,,,2
2014-09-30,Croatia,,,6
2014-09-30,Cyprus (Northern part of),,,1
2014-09-30,Djibouti,,,1
2014-09-30,Equatorial Guinea,,,1
2014-09-30,Guyana,,,2
2014-09-30,Hungary,,,2
2014-09-30,Ireland,,,1
2014-09-30,Italy,,,1
2014-09-30,Laos,,,2
2014-09-30,Maldives,,,1
2014-09-30,Moldova,,,2
2014-09-30,Qatar,,,1
2014-09-30,St. Lucia,,,6
2014-09-30,Switzerland,,,1
2014-09-30,Taiwan,,,1
2014-09-30,Tajikistan,,,2
2014-12-31,Afghanistan,640,636,618
2014-12-31,Albania,406,768,794
2014-12-31,Algeria,105,49,87
2014-12-31,Angola,27,14,20
2014-12-31,Argentina,1,,
2014-12-31,Armenia,1,7,19
2014-12-31,Azerbaijan,1,2,14
2014-12-31,Bahrain,3,3,7
2014-12-31,Bangladesh,231,223,390
2014-12-31,Barbados,1,3,1
2014-12-31,Belarus,1,3,4
2014-12-31,Belize,2,,
2014-12-31,Benin,2,1,
2014-12-31,Bhutan,1,1,1
2014-12-31,Bosnia and Herzegovina,2,,10
2014-12-31,Botswana,6,9,9
2014-12-31,Brazil,2,4,9
2014-12-31,British overseas citizens,2,,7
2014-12-31,Burkina,5,,2
2014-12-31,Burma,41,59,65
2014-12-31,Burundi,2,1,11
2014-12-31,Cameroon,61,53,48
2014-12-31,Canada,2,3,4
2014-12-31,Central African Republic,2,,3
2014-12-31,Chad,3,3,10
2014-12-31,China,504,279,546
2014-12-31,Colombia,9,,8
2014-12-31,Congo,18,14,22
2014-12-31,Congo (Democratic Republic),97,74,161
2014-12-31,Costa Rica,2,2,
2014-12-31,Dominica,1,,1
2014-12-31,Egypt,91,104,131
2014-12-31,El Salvador,18,3,6
2014-12-31,Eritrea,150,1211,299
2014-12-31,Ethiopia,51,120,95
2014-12-31,"Gambia, The",103,83,126
2014-12-31,Georgia,10,18,31
2014-12-31,Ghana,39,37,66
2014-12-31,Grenada,4,3,3
2014-12-31,Guinea,23,14,22
2014-12-31,Honduras,4,4,4
2014-12-31,India,120,269,362
2014-12-31,Indonesia,10,2,4
2014-12-31,Iran,700,982,1032
2014-12-31,Iraq,289,433,264
2014-12-31,Ireland,1,,1
2014-12-31,Israel,3,2,6
2014-12-31,Ivory Coast,36,11,32
2014-12-31,Jamaica,29,47,55
2014-12-31,Japan,1,,
2014-12-31,Jordan,12,9,20
2014-12-31,Kazakhstan,5,6,5
2014-12-31,Kenya,26,26,44
2014-12-31,Korea (North),20,17,22
2014-12-31,Korea (South),2,3,6
2014-12-31,Kosovo,11,15,15
2014-12-31,Kuwait,14,54,37
2014-12-31,Latvia,2,3,3
2014-12-31,Lebanon,38,42,43
2014-12-31,Liberia,2,3,9
2014-12-31,Libya,193,419,283
2014-12-31,Lithuania,1,8,5
2014-12-31,Macedonia,3,1,
2014-12-31,Madagascar,1,1,
2014-12-31,Malawi,47,47,85
2014-12-31,Malaysia,9,19,12
2014-12-31,Mali,10,2,6
2014-12-31,Mauritania,1,,2
2014-12-31,Mauritius,25,14,20
2014-12-31,Mongolia,11,11,25
2014-12-31,Morocco,28,21,32
2014-12-31,Mozambique,1,,2
2014-12-31,Namibia,5,9,8
2014-12-31,Nepal,15,8,10
2014-12-31,Niger,1,,2
2014-12-31,Nigeria,517,475,605
2014-12-31,Occupied Palestinian Territories,69,99,78
2014-12-31,Other and unknown,4,3,9
2014-12-31,Pakistan,1328,1005,1519
2014-12-31,Philippines,14,7,12
2014-12-31,Poland,8,26,11
2014-12-31,Refugee,4,7,8
2014-12-31,Romania,1,1,2
2014-12-31,Russia,51,63,56
2014-12-31,Rwanda,3,8,16
2014-12-31,Saudi Arabia,11,15,8
2014-12-31,Senegal,12,9,17
2014-12-31,Sierra Leone,52,21,51
2014-12-31,Singapore,1,1,3
2014-12-31,Somalia,146,160,262
2014-12-31,South Africa,22,22,26
2014-12-31,Spain,1,,
2014-12-31,Sri Lanka,1079,520,1309
2014-12-31,Stateless,61,123,90
2014-12-31,Sudan,118,662,204
2014-12-31,Sudan (South),1,1,7
2014-12-31,Swaziland,3,13,5
2014-12-31,Syria,70,1027,232
2014-12-31,Tanzania,8,8,25
2014-12-31,Thailand,4,4,6
2014-12-31,Togo,3,,4
2014-12-31,Trinidad and Tobago,14,12,8
2014-12-31,Tunisia,13,4,13
2014-12-31,Turkey,168,115,166
2014-12-31,Uganda,71,69,109
2014-12-31,Ukraine,45,85,57
2014-12-31,United States,2,21,12
2014-12-31,Uzbekistan,9,6,13
2014-12-31,Venezuela,5,11,6
2014-12-31,Vietnam,104,128,195
2014-12-31,Western Sahara,2,1,2
2014-12-31,Yemen,44,41,18
2014-12-31,Zambia,10,13,15
2014-12-31,Zimbabwe,223,130,278
2014-12-31,Antigua and Barbuda,,1,1
2014-12-31,Australia,,1,1
2014-12-31,Bolivia,,1,8
2014-12-31,Croatia,,1,4
2014-12-31,Cuba,,1,
2014-12-31,Cyprus (Northern part of),,1,1
2014-12-31,Czech Republic,,1,
2014-12-31,France,,2,
2014-12-31,Germany,,2,
2014-12-31,Greece,,1,1
2014-12-31,Guyana,,3,1
2014-12-31,Haiti,,2,
2014-12-31,Kyrgyzstan,,2,1
2014-12-31,Lesotho,,1,
2014-12-31,Mexico,,7,7
2014-12-31,Netherlands,,1,
2014-12-31,Nicaragua,,1,
2014-12-31,Oman,,6,3
2014-12-31,Portugal,,2,1
2014-12-31,Qatar,,1,1
2014-12-31,Seychelles,,1,
2014-12-31,Slovakia,,1,
2014-12-31,St. Lucia,,1,5
2014-12-31,St. Vincent and the Grenadines,,3,4
2014-12-31,Tajikistan,,1,2
2014-12-31,Tonga,,1,
2014-12-31,Turkmenistan,,2,5
2014-12-31,United Arab Emirates,,13,4
2014-12-31,Bulgaria,,,1
2014-12-31,Chile,,,1
2014-12-31,Ecuador,,,1
2014-12-31,Equatorial Guinea,,,1
2014-12-31,Fiji,,,2
2014-12-31,Hong Kong,,,1
2014-12-31,Hungary,,,1
2014-12-31,Italy,,,1
2014-12-31,Laos,,,1
2014-12-31,Maldives,,,1
2014-12-31,Moldova,,,1
2014-12-31,Montenegro,,,1
2014-12-31,St. Kitts and Nevis,,,1
2014-12-31,Switzerland,,,1
2014-12-31,Taiwan,,,1
2015-03-31,Afghanistan,916,528,243
2015-03-31,Albania,687,776,506
2015-03-31,Algeria,117,58,33
2015-03-31,Angola,34,27,10
2015-03-31,Antigua and Barbuda,1,,
2015-03-31,Armenia,17,12,4
2015-03-31,Azerbaijan,17,6,2
2015-03-31,Bahrain,4,11,1
2015-03-31,Bangladesh,434,266,126
2015-03-31,Barbados,1,1,1
2015-03-31,Belarus,2,6,1
2015-03-31,Belize,2,,
2015-03-31,Benin,2,1,
2015-03-31,Bhutan,1,5,1
2015-03-31,Bolivia,5,11,1
2015-03-31,Bosnia and Herzegovina,1,1,5
2015-03-31,Botswana,13,8,3
2015-03-31,Brazil,2,6,4
2015-03-31,British overseas citizens,4,2,2
2015-03-31,Burkina,6,,1
2015-03-31,Burma,61,70,15
2015-03-31,Burundi,7,1,5
2015-03-31,Cameroon,79,74,21
2015-03-31,Canada,3,4,1
2015-03-31,Central African Republic,7,,
2015-03-31,Chad,6,11,5
2015-03-31,China,778,270,100
2015-03-31,Colombia,12,5,1
2015-03-31,Congo,27,11,8
2015-03-31,Congo (Democratic Republic),169,99,66
2015-03-31,Costa Rica,2,2,
2015-03-31,Cyprus (Northern part of),2,,1
2015-03-31,Djibouti,1,1,
2015-03-31,Egypt,161,107,66
2015-03-31,El Salvador,22,7,
2015-03-31,Equatorial Guinea,3,,
2015-03-31,Eritrea,248,1387,90
2015-03-31,Ethiopia,92,151,37
2015-03-31,"Gambia, The",143,109,42
2015-03-31,Georgia,24,18,15
2015-03-31,Ghana,67,44,26
2015-03-31,Grenada,7,1,
2015-03-31,Guinea,30,12,6
2015-03-31,Guinea-Bissau,1,3,
2015-03-31,Guyana,1,4,2
2015-03-31,Honduras,6,4,1
2015-03-31,Hungary,1,1,
2015-03-31,India,233,277,139
2015-03-31,Indonesia,14,,1
2015-03-31,Iran,936,1097,176
2015-03-31,Iraq,434,484,122
2015-03-31,Ireland,2,1,
2015-03-31,Israel,6,3,1
2015-03-31,Ivory Coast,42,15,20
2015-03-31,Jamaica,45,45,24
2015-03-31,Japan,1,,
2015-03-31,Jordan,18,14,12
2015-03-31,Kazakhstan,3,5,5
2015-03-31,Kenya,41,33,26
2015-03-31,Korea (North),16,28,14
2015-03-31,Korea (South),7,6,
2015-03-31,Kosovo,13,14,9
2015-03-31,Kuwait,27,62,6
2015-03-31,Latvia,2,4,3
2015-03-31,Lebanon,45,48,35
2015-03-31,Liberia,2,5,4
2015-03-31,Libya,335,501,174
2015-03-31,Lithuania,2,13,5
2015-03-31,Malawi,91,52,16
2015-03-31,Malaysia,17,19,2
2015-03-31,Mali,10,5,3
2015-03-31,Mauritania,2,,
2015-03-31,Mauritius,29,15,9
2015-03-31,Mexico,5,4,5
2015-03-31,Moldova,1,,
2015-03-31,Mongolia,24,6,13
2015-03-31,Morocco,34,24,9
2015-03-31,Mozambique,1,1,
2015-03-31,Namibia,10,12,9
2015-03-31,Nepal,23,21,3
2015-03-31,Niger,1,,1
2015-03-31,Nigeria,778,626,240
2015-03-31,Occupied Palestinian Territories,83,99,30
2015-03-31,Oman,2,,6
2015-03-31,Other and unknown,8,6,4
2015-03-31,Pakistan,2009,1034,395
2015-03-31,Philippines,13,14,5
2015-03-31,Poland,14,24,10
2015-03-31,Portugal,1,3,
2015-03-31,Refugee,11,2,4
2015-03-31,Romania,1,4,1
2015-03-31,Russia,68,72,41
2015-03-31,Rwanda,9,8,9
2015-03-31,Saudi Arabia,10,21,7
2015-03-31,Senegal,13,11,6
2015-03-31,Sierra Leone,72,34,17
2015-03-31,Singapore,2,2,3
2015-03-31,Somalia,220,183,69
2015-03-31,South Africa,22,43,12
2015-03-31,Spain,2,1,
2015-03-31,Sri Lanka,1677,672,498
2015-03-31,St. Lucia,1,2,2
2015-03-31,St. Vincent and the Grenadines,3,2,3
2015-03-31,Stateless,72,139,32
2015-03-31,Sudan,142,693,67
2015-03-31,Switzerland,1,,
2015-03-31,Syria,122,1163,177
2015-03-31,Tanzania,16,13,4
2015-03-31,Thailand,2,1,4
2015-03-31,Togo,3,2,1
2015-03-31,Trinidad and Tobago,23,11,1
2015-03-31,Tunisia,12,10,6
2015-03-31,Turkey,208,115,81
2015-03-31,Turkmenistan,5,2,
2015-03-31,Uganda,97,72,57
2015-03-31,Ukraine,60,78,26
2015-03-31,United States,10,19,5
2015-03-31,Uzbekistan,16,4,4
2015-03-31,Venezuela,14,7,1
2015-03-31,Vietnam,134,164,74
2015-03-31,Yemen,61,35,5
2015-03-31,Zambia,12,11,8
2015-03-31,Zimbabwe,365,190,46
2015-03-31,Australia,,2,1
